timeOpen,Date,timeHigh,timeLow,name,open,high,low,Close,volume,marketCap,timestamp
4/30/24 10:00,2024-05-31T23:59:59.999Z,5/11/24 11:48,4/30/24 18:22,2781,3011.0156650000,3973.5564380000,2815.9232420000,3760.0266860000,494712697510.11,451715442766.51,2024-05-31T23:59:59.999Z
3/31/24 10:00,2024-04-30T23:59:59.999Z,4/3/24 11:01,4/5/24 10:09,2781,3647.819702000,3727.6165570000,2862.3936640000,3012.2867440000,480678795895.79,367513717992.83,2024-04-30T23:59:59.999Z
2/29/24 10:00,2024-03-31T23:59:59.999Z,3/5/24 0:20,3/8/24 13:25,2781,3341.9657970000,4092.2841420000,3059.6549000000,3647.8563800000,670105166248.18,437995776899.17,2024-03-31T23:59:59.999Z
1/31/24 10:00,2024-02-29T23:59:59.999Z,2/12/24 3:36,1/31/24 12:00,2781,2282.1753010000,3518.9691430000,2243.5718200000,3341.9196030000,435402067622.86,401521910329.79,2024-02-29T23:59:59.999Z
12/31/23 10:00,2024-01-31T23:59:59.999Z,1/5/24 5:12,1/1/24 8:10,2781,2282.8703380000,2710.4219410000,2113.9253490000,2282.5445420000,365409742553.37,274322642274.31,2024-01-31T23:59:59.999Z
11/30/23 10:00,2023-12-31T23:59:59.999Z,12/11/23 17:15,11/30/23 10:50,2781,2052.0966670000,2445.0175390000,2046.5570350000,2281.4713020000,351655489426.27,274194287336.36,2023-12-31T23:59:59.999Z
10/31/23 10:00,2023-11-30T23:59:59.999Z,11/4/23 8:57,11/1/23 7:18,2781,1815.8720740000,2134.691404000,1779.6355580000,2052.5560760000,315824566885.52,246799826112.87,2023-11-30T23:59:59.999Z
9/30/23 10:00,2023-10-31T23:59:59.999Z,10/11/23 4:03,10/5/23 7:07,2781,1671.1615280000,1865.095262000,1523.2375680000,1816.4589320000,192662877048.77,218464638399.94,2023-10-31T23:59:59.999Z
8/31/23 10:00,2023-09-30T23:59:59.999Z,9/12/23 17:46,9/4/23 14:01,2781,1645.5813230000,1692.5311650000,1533.4267290000,1671.1618110000,134781867368,200935981760.42,2023-09-30T23:59:59.999Z
7/31/23 10:00,2023-08-31T23:59:59.999Z,7/31/23 21:33,8/7/23 3:45,2781,1856.1901660000,1877.5115200000,1551.7132500000,1645.6391240000,168678383228.79,197831661218.49,2023-08-31T23:59:59.999Z
6/30/23 10:00,2023-07-31T23:59:59.999Z,7/5/23 21:06,7/2/23 22:03,2781,1933.3238880000,2026.2049230000,1832.0254180000,1856.1623400000,177596680398.02,223070797299.17,2023-07-31T23:59:59.999Z
5/31/23 10:00,2023-06-30T23:59:59.999Z,6/12/23 19:45,6/6/23 15:31,2781,1873.9147320000,1945.2743130000,1624.1383320000,1933.1889820000,206194132395.61,232408283870.42,2023-06-30T23:59:59.999Z
4/30/23 10:00,2023-05-31T23:59:59.999Z,5/2/23 12:36,5/5/23 5:53,2781,1868.8910610000,2017.55948300,1742.4037550000,1874.1304350000,202326166172.3,225361512775.62,2023-05-31T23:59:59.999Z
3/31/23 10:00,2023-04-30T23:59:59.999Z,4/7/23 1:32,4/1/23 7:47,2781,1821.7043540000,2137.4451200000,1765.5188950000,1876.9243270000,288661653168.76,225975170377.92,2023-04-30T23:59:59.999Z
2/28/23 10:00,2023-03-31T23:59:59.999Z,3/9/23 19:18,3/4/23 4:48,2781,1606.0403820000,1853.8880030000,1378.5254020000,1822.0221190000,302468060876.75,219476732219.84,2023-03-31T23:59:59.999Z
1/31/23 10:00,2023-02-28T23:59:59.999Z,2/6/23 22:05,2/5/23 16:39,2781,1586.4881050000,1732.8010980000,1470.0239830000,1605.8951310000,223749343195.69,196519595895.71,2023-02-28T23:59:59.999Z
12/31/22 10:00,2023-01-31T23:59:59.999Z,1/8/23 18:22,12/31/22 14:51,2781,1196.7136710000,1674.1792680000,1192.8854360000,1586.5353740000,224952954311.97,194150467599.55,2023-01-31T23:59:59.999Z
11/30/22 10:00,2022-12-31T23:59:59.999Z,12/6/22 4:41,12/8/22 0:38,2781,1295.7695040000,1346.174483000,1160.377254000,1196.7712390000,169265381932.22,146453523490.15,2022-12-31T23:59:59.999Z
10/31/22 10:00,2022-11-30T23:59:59.999Z,11/1/22 20:44,11/3/22 21:38,2781,1572.6453610000,1661.3346630000,1083.2856660000,1295.6886060000,423837334168.08,158558424120.23,2022-11-30T23:59:59.999Z
9/30/22 10:00,2022-10-31T23:59:59.999Z,10/12/22 9:53,10/5/22 12:38,2781,1328.1937210000,1652.3822190000,1209.2781570000,1572.7144660000,382071643030.59,192459145336.4,2022-10-31T23:59:59.999Z
8/31/22 10:00,2022-09-30T23:59:59.999Z,9/4/22 7:36,9/8/22 20:19,2781,1553.7563910000,1784.4977850000,1229.4267080000,1327.9786380000,496652295827.19,162806430080.61,2022-09-30T23:59:59.999Z
7/31/22 10:00,2022-08-31T23:59:59.999Z,8/6/22 3:54,8/12/22 2:21,2781,1681.4455630000,2022.7915560000,1427.728356000,1553.6849380000,554162785316.97,189843590076.15,2022-08-31T23:59:59.999Z
6/30/22 10:00,2022-07-31T23:59:59.999Z,7/11/22 16:43,7/5/22 13:34,2781,1068.3168180000,1774.5764400000,1019.2203190000,1681.5173190000,534457515641.06,204771722888.53,2022-07-31T23:59:59.999Z
5/31/22 10:00,2022-06-30T23:59:59.999Z,5/31/22 13:34,6/7/22 12:51,2781,1942.0506180000,1965.1665820000,896.1090090000,1067.2988000000,562032668964.82,129526314725.35,2022-06-30T23:59:59.999Z
4/30/22 10:00,2022-05-31T23:59:59.999Z,5/2/22 1:14,5/11/22 9:42,2781,2729.9941990000,2956.6868880000,1721.2647490000,1942.3279980000,625954100329.27,235021820715.09,2022-05-31T23:59:59.999Z
3/31/22 10:00,2022-04-30T23:59:59.999Z,4/1/22 8:42,4/12/22 15:51,2781,3282.57616800,3573.9602430000,2727.4063380000,2730.1868220000,493826441954.76,329245687214.6,2022-04-30T23:59:59.999Z
2/28/22 10:00,2022-03-31T23:59:59.999Z,3/12/22 4:23,3/2/22 22:05,2781,2919.7758780000,3470.1863040000,2455.5937270000,3281.6428780000,436852450561.23,394425928251.04,2022-03-31T23:59:59.999Z
1/31/22 10:00,2022-02-28T23:59:59.999Z,2/4/22 5:39,2/10/22 7:36,2781,2687.8989520000,3271.3161540000,2308.914731000,2919.2012290000,416163449936.65,349638704203.76,2022-02-28T23:59:59.999Z
12/31/21 10:00,2022-01-31T23:59:59.999Z,1/1/22 21:04,1/10/22 4:12,2781,3683.0471560000,3876.7850860000,2172.3011530000,2688.2789220000,491108556501.46,320959888865.31,2022-01-31T23:59:59.999Z
11/30/21 10:00,2021-12-31T23:59:59.999Z,12/8/21 17:46,12/3/21 21:27,2781,4623.6794440000,4780.7324840000,3525.4940540000,3682.6329050000,621042023888.91,438128003490.89,2021-12-31T23:59:59.999Z
