timeOpen,Date,timeHigh,timeLow,name,open,high,low,Close,volume,marketCap,timestamp
2/28/25 10:00,2025-03-31T23:59:59.999Z,3/1/25 3:47,3/4/25 14:51,2781,84373.8643720000,95043.435203000,76624.2524900000,82548.9109610000,1133328839500.75,1638221363683.2,2025-03-31T23:59:59.999Z
1/31/25 10:00,2025-02-28T23:59:59.999Z,1/31/25 11:46,2/12/25 0:47,2781,102402.7981150000,102755.7260180000,78248.9161020000,84373.0103300000,1389494855080.7,1673219380516.41,2025-02-28T23:59:59.999Z
12/31/24 10:00,2025-01-31T23:59:59.999Z,1/8/25 14:55,1/5/25 14:37,2781,93425.1021360000,109114.8848340000,89260.1001890000,102405.0270840000,1917584997242.14,2029428972448.1,2025-01-31T23:59:59.999Z
11/30/24 10:00,2024-12-31T23:59:59.999Z,12/7/24 6:58,12/12/24 17:10,2781,96461.3368000000,108268.4470800000,91317.1354600000,93429.2028110000,2367571853073.27,1850183342119.26,2024-12-31T23:59:59.999Z
10/31/24 10:00,2024-11-30T23:59:59.999Z,11/9/24 13:38,11/1/24 17:55,2781,70216.8969680000,99655.5010790000,66803.649996000,96449.0558130000,2214093389107.44,1908652965665.17,2024-11-30T23:59:59.999Z
9/30/24 10:00,2024-10-31T23:59:59.999Z,10/12/24 11:12,10/4/24 12:27,2781,63335.603584000,73577.2096580000,58895.2078080000,70215.1856330000,1049276385591.06,1388607599014.43,2024-10-31T23:59:59.999Z
8/31/24 10:00,2024-09-30T23:59:59.999Z,9/11/24 10:38,9/2/24 13:00,2781,58969.7994540000,66480.6947100000,52598.6996620000,63329.4981290000,935228464018.62,1251461875405.87,2024-09-30T23:59:59.999Z
7/31/24 10:00,2024-08-31T23:59:59.999Z,7/31/24 12:27,8/2/24 8:24,2781,64625.8404450000,65593.244771000,49121.2373780000,58969.8983660000,1076531038326.07,1164522862133.13,2024-08-31T23:59:59.999Z
6/30/24 10:00,2024-07-31T23:59:59.999Z,7/12/24 5:06,7/2/24 6:20,2781,62673.6063390000,69987.5422080000,53717.3754330000,64619.2496490000,953395573304.8,1275323104043.98,2024-07-31T23:59:59.999Z
5/31/24 10:00,2024-06-30T23:59:59.999Z,6/3/24 0:17,6/10/24 0:31,2781,67475.4311810000,71907.8489830000,58601.7000720000,62678.292079000,751726832520.26,1235944779945.39,2024-06-30T23:59:59.999Z
4/30/24 10:00,2024-05-31T23:59:59.999Z,5/8/24 18:20,4/30/24 18:24,2781,60609.4979460000,71946.462688000,56555.2940550000,67489.6117770000,874291509756.41,1329961627933.33,2024-05-31T23:59:59.999Z
3/31/24 10:00,2024-04-30T23:59:59.999Z,4/3/24 10:12,4/12/24 12:00,2781,71333.4847170000,72715.3596090000,59120.0680470000,60636.8567800000,1016068331704.26,1193544962108.24,2024-04-30T23:59:59.999Z
2/29/24 10:00,2024-03-31T23:59:59.999Z,3/6/24 3:06,3/2/24 11:57,2781,61168.0624290000,73750.07385000,59323.9089420000,71333.6479260000,1446417844950.47,1403108244335.61,2024-03-31T23:59:59.999Z
